bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
2.25000000000000000e+02,2.30000000000000000e+02,2.32684094265596826e+02,5.38901823419753345e+00,2.07925599253482005e+02,2.45693193453264826e+02
2.30000000000000000e+02,2.35000000000000000e+02,2.19602790717494258e+02,5.35691533120200347e+00,1.97575813654050791e+02,2.28440087744082945e+02
2.35000000000000000e+02,2.40000000000000000e+02,1.96681856660234985e+02,4.83323095571466599e+00,1.78007781550371135e+02,2.02273564362660380e+02
2.40000000000000000e+02,2.45000000000000000e+02,1.76326989101014306e+02,4.70343889062291254e+00,1.60133769950646240e+02,1.79965553370168919e+02
2.45000000000000000e+02,2.50000000000000000e+02,1.68433005196160764e+02,4.35374424189667941e+00,1.52774171366235748e+02,1.72191789091976659e+02
2.50000000000000000e+02,2.55000000000000000e+02,1.47408506632498842e+02,3.82860886016818869e+00,1.33616626599142847e+02,1.50841261853086934e+02
2.55000000000000000e+02,2.60000000000000000e+02,1.28400188088580620e+02,3.76456261169684980e+00,1.18558989802016811e+02,1.28400188088580620e+02
2.60000000000000000e+02,2.65000000000000000e+02,1.28601143026037192e+02,3.49088714450310222e+00,1.17288871339583224e+02,1.29701806705066986e+02
2.65000000000000000e+02,2.70000000000000000e+02,1.07731848002164611e+02,3.40128622371473099e+00,1.00034156323243906e+02,1.07731848002164611e+02
2.70000000000000000e+02,2.75000000000000000e+02,1.07007506595663585e+02,3.22152016499030980e+00,9.75403876712746865e+01,1.07894947327919056e+02
2.75000000000000000e+02,2.80000000000000000e+02,9.02473276787762302e+01,3.08507253792136416e+00,8.40989731880923728e+01,9.02473276787762302e+01
2.80000000000000000e+02,2.85000000000000000e+02,8.69990624109382367e+01,2.77514702544952119e+00,8.05748313982241768e+01,8.69990624109382367e+01
2.85000000000000000e+02,2.90000000000000000e+02,7.89787760010109849e+01,2.78944607728772009e+00,7.38804926779026658e+01,7.89787760010109849e+01
2.90000000000000000e+02,2.95000000000000000e+02,7.22585666454901201e+01,2.56145100740421672e+00,6.73525120341137722e+01,7.22585666454901201e+01
2.95000000000000000e+02,3.00000000000000000e+02,6.18548287466891509e+01,2.76311806518290970e+00,5.59365043112382239e+01,6.18548287466891509e+01
3.00000000000000000e+02,3.05000000000000000e+02,6.00392189100018001e+01,2.05134239310252386e+00,5.63626324746827123e+01,6.00392189100018001e+01
3.05000000000000000e+02,3.10000000000000000e+02,5.56324427364296739e+01,2.13560506610205136e+00,5.22078582370263860e+01,5.56324427364296739e+01
3.10000000000000000e+02,3.15000000000000000e+02,4.62274303762318652e+01,2.43433679598807950e+00,4.01611179444582618e+01,4.62274303762318652e+01
3.15000000000000000e+02,3.20000000000000000e+02,4.59123372376792673e+01,1.85377367821181682e+00,4.12764551380953293e+01,4.59123372376792673e+01
3.20000000000000000e+02,3.25000000000000000e+02,4.00899543893021360e+01,1.92343060446030045e+00,3.42874115035200262e+01,4.00899543893021360e+01
3.25000000000000000e+02,3.30000000000000000e+02,3.89658716985170059e+01,1.90566437004772871e+00,3.45765699390362187e+01,3.89658716985170059e+01
3.30000000000000000e+02,3.35000000000000000e+02,3.65577729242281180e+01,1.75348638981857596e+00,3.25386818844818606e+01,3.65577729242281180e+01
3.35000000000000000e+02,3.40000000000000000e+02,3.08823235856739551e+01,1.67295007635279269e+00,2.58533653380419288e+01,3.08823235856739551e+01
3.40000000000000000e+02,3.45000000000000000e+02,3.20089666215878097e+01,1.23473025777495105e+00,2.94834948686217722e+01,3.20089666215878097e+01
3.45000000000000000e+02,3.50000000000000000e+02,2.76044709453540058e+01,1.31342204762528980e+00,2.34696782440770129e+01,2.76044709453540058e+01
3.50000000000000000e+02,3.55000000000000000e+02,2.53806876795104799e+01,1.27708358080390250e+00,2.19358298890883106e+01,2.53806876795104799e+01
3.55000000000000000e+02,3.60000000000000000e+02,2.33880676454529208e+01,1.30835166626653288e+00,1.94349501330678613e+01,2.33880676454529208e+01
3.60000000000000000e+02,3.65000000000000000e+02,2.26291049173883287e+01,1.31547015554978808e+00,1.89838087545431478e+01,2.26291049173883287e+01
