bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
7.31666666666666629e+02,7.43333333333333258e+02,7.27735905068317237e+01,1.70437213332105242e+00,5.35581651592817920e+01,1.01738839630080207e+02
7.43333333333333258e+02,7.54999999999999886e+02,6.59524826286970978e+01,1.57660793129480092e+00,4.84803884754406269e+01,9.23295886625335527e+01
7.55000000000000000e+02,7.66666666666666629e+02,5.91953350527197628e+01,1.42509087398683776e+00,4.34716647928007376e+01,8.29689299527929478e+01
7.66666666666666629e+02,7.78333333333333258e+02,5.80371240666325221e+01,1.43292009536170162e+00,4.25515924271086803e+01,8.14902202067354580e+01
7.78333333333333258e+02,7.89999999999999886e+02,5.32224039134657190e+01,1.32722454735622453e+00,3.89769603899579238e+01,7.48313809005197328e+01
7.90000000000000000e+02,8.01666666666666629e+02,4.72607965964574248e+01,1.20603646247837681e+00,3.45729868179606328e+01,6.65381253032622055e+01
8.01666666666666629e+02,8.13333333333333258e+02,4.48762717525398358e+01,1.16739232805055182e+00,3.27848164515616389e+01,6.32753347174833110e+01
8.13333333333333258e+02,8.24999999999999886e+02,4.19205999183006242e+01,1.08159299574223833e+00,3.05831366605882806e+01,5.92026056333157626e+01
8.25000000000000000e+02,8.36666666666666629e+02,3.82712132473783271e+01,1.00573507522225891e+00,2.78912691025111279e+01,5.41162394580069730e+01
8.36666666666666629e+02,8.48333333333333258e+02,3.60200446461802031e+01,9.52056746958551137e-01,2.62145955570485398e+01,5.10133241601449328e+01
8.48333333333333258e+02,8.59999999999999886e+02,3.38775423808237832e+01,9.24248402985517359e-01,2.46312165916804560e+01,4.80316722894924197e+01
8.60000000000000000e+02,8.71666666666666629e+02,3.02904372354279019e+01,8.14550142301385116e-01,2.19974203133952564e+01,4.30072434697793895e+01
8.71666666666666629e+02,8.83333333333333258e+02,2.69521693108596132e+01,7.56345017153799870e-01,1.95437302394025032e+01,3.83324536294895637e+01
8.83333333333333258e+02,8.94999999999999886e+02,2.63982020416334500e+01,7.55070486432269261e-01,1.91247829749436384e+01,3.75829747759204125e+01
8.95000000000000000e+02,9.06666666666666629e+02,2.38011928931069754e+01,6.89244176974567080e-01,1.72174278990457417e+01,3.39445548068380134e+01
9.06666666666666629e+02,9.18333333333333258e+02,2.21983214792675732e+01,6.46119336557387736e-01,1.60440984433997578e+01,3.16919176625726955e+01
9.18333333333333258e+02,9.29999999999999886e+02,2.10434007712178079e+01,6.12886394808644708e-01,1.51946534421755679e+01,3.00760470262480553e+01
9.30000000000000000e+02,9.41666666666666629e+02,1.92881244457659129e+01,5.68385874787467604e-01,1.39223019946839965e+01,2.75787068655221788e+01
9.41666666666666629e+02,9.53333333333333258e+02,1.83849681250359609e+01,5.61263634351997887e-01,1.32418977903082453e+01,2.63514616657973022e+01
9.53333333333333258e+02,9.64999999999999886e+02,1.67610482144563946e+01,5.04149220377360097e-01,1.20650329867491202e+01,2.40426563100328146e+01
