bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
2.05000000000000000e+02,2.10000000000000000e+02,2.64459437534757058e+02,5.07142736761835877e+00,1.98251482362744724e+02,3.62188351664088771e+02
2.10000000000000000e+02,2.15000000000000000e+02,2.35654749438492530e+02,4.66133068162008080e+00,1.76549966977124285e+02,3.22973391032775851e+02
2.15000000000000000e+02,2.20000000000000000e+02,2.27506449657062149e+02,4.44445460108250678e+00,1.70244956761723614e+02,3.12247326367543735e+02
2.20000000000000000e+02,2.25000000000000000e+02,2.06804663589582731e+02,4.08249765840744683e+00,1.54641887925185046e+02,2.84068751376850685e+02
2.25000000000000000e+02,2.30000000000000000e+02,1.92940361661880701e+02,3.82818612584717854e+00,1.44170077911125958e+02,2.65257999182071956e+02
2.30000000000000000e+02,2.35000000000000000e+02,1.78063541509897391e+02,3.59243133903418821e+00,1.33018180588331575e+02,2.44886080780555261e+02
2.35000000000000000e+02,2.40000000000000000e+02,1.58022751122134025e+02,3.26092555155542074e+00,1.17890850615289750e+02,2.17663725868253721e+02
2.40000000000000000e+02,2.45000000000000000e+02,1.48049456217213560e+02,3.04255084481777871e+00,1.10338294560390494e+02,2.04181689964196096e+02
2.45000000000000000e+02,2.50000000000000000e+02,1.43019077827976901e+02,2.90414059054654361e+00,1.06477088965303579e+02,1.97475311978144020e+02
2.50000000000000000e+02,2.55000000000000000e+02,1.26366147241776801e+02,2.65169089388619250e+00,9.40224746228321209e+01,1.74609692704957070e+02
2.55000000000000000e+02,2.60000000000000000e+02,1.12322383951138860e+02,2.40574150610588910e+00,8.34554597548394810e+01,1.55456677487334247e+02
2.60000000000000000e+02,2.65000000000000000e+02,1.11700329470526640e+02,2.32173588068391101e+00,8.29302567459606053e+01,1.54739342738983822e+02
2.65000000000000000e+02,2.70000000000000000e+02,9.69220058337612187e+01,2.08337930404302041e+00,7.18591493728653745e+01,1.34479304077315419e+02
2.70000000000000000e+02,2.75000000000000000e+02,9.54131044566930484e+01,2.02287677415343126e+00,7.07523598567344294e+01,1.32368881956327613e+02
2.75000000000000000e+02,2.80000000000000000e+02,8.45169877764527513e+01,1.85018613598169956e+00,6.25981679502658110e+01,1.17415220444670624e+02
2.80000000000000000e+02,2.85000000000000000e+02,8.21078147431642691e+01,1.75818215491504026e+00,6.07947275565633518e+01,1.14115227818601284e+02
2.85000000000000000e+02,2.90000000000000000e+02,7.67425207537855556e+01,1.65811190825149946e+00,5.67925642041398007e+01,1.06730259970424925e+02
2.90000000000000000e+02,2.95000000000000000e+02,6.91761026679601372e+01,1.50720599346554551e+00,5.11065340893218121e+01,9.63941007287506721e+01
2.95000000000000000e+02,3.00000000000000000e+02,6.35028238528097262e+01,1.41055608676740674e+00,4.69121182282940339e+01,8.84966943445596854e+01
3.00000000000000000e+02,3.05000000000000000e+02,5.68136874649027561e+01,1.28571778882889887e+00,4.19237399440329099e+01,7.92790118062268760e+01
3.05000000000000000e+02,3.10000000000000000e+02,5.40954422399982562e+01,1.21595156998067400e+00,3.98815292804051609e+01,7.55680434730227404e+01
3.10000000000000000e+02,3.15000000000000000e+02,5.08815300670436557e+01,1.14624084586592168e+00,3.74843455383387578e+01,7.11376437292378654e+01
3.15000000000000000e+02,3.20000000000000000e+02,4.70630262996105273e+01,1.06633265109452791e+00,3.46484575478813071e+01,6.58541966552063087e+01
3.20000000000000000e+02,3.25000000000000000e+02,4.28136583127799568e+01,9.83383895207232461e-01,3.14741677124259809e+01,6.00068612090113476e+01
3.25000000000000000e+02,3.30000000000000000e+02,4.05370043882033215e+01,9.32323180799176088e-01,2.98037463686669852e+01,5.68115928095338987e+01
3.30000000000000000e+02,3.35000000000000000e+02,3.88028936588293476e+01,8.84304749361918607e-01,2.85111337968097267e+01,5.44218258742938730e+01
3.35000000000000000e+02,3.40000000000000000e+02,3.60304943875817898e+01,8.29910349619881638e-01,2.64506194910808503e+01,5.05855841000834232e+01
3.40000000000000000e+02,3.45000000000000000e+02,3.25514797804744873e+01,7.65210095467761753e-01,2.38796219967684387e+01,4.57422124298518682e+01
3.45000000000000000e+02,3.50000000000000000e+02,2.99593984974956129e+01,7.09542249989901674e-01,2.19565434813549807e+01,4.21477265651231505e+01
3.50000000000000000e+02,3.55000000000000000e+02,2.80367472172541383e+01,6.65441030943315970e-01,2.05250651904791290e+01,3.94912949567136735e+01
3.55000000000000000e+02,3.60000000000000000e+02,2.67037629359552042e+01,6.30508538892448400e-01,1.95463527798320449e+01,3.76234959594137663e+01
3.60000000000000000e+02,3.65000000000000000e+02,2.56157793405522334e+01,6.01947369398239562e-01,1.87398778961534234e+01,3.61138077039213101e+01
3.65000000000000000e+02,3.70000000000000000e+02,2.27939093223480853e+01,5.51615127829875651e-01,1.66752498301924525e+01,3.21385551038467128e+01
